x_mm,y_mm,z_mm,slice_idx
-84.7227,-30.5449,8.2126,6
-84.7227,-36.0448,8.2448,6
-86.2225,-37.5447,8.2733,6
-93.2219,-37.5441,8.3659,6
-93.7219,-38.0441,8.3754,6
-94.7218,-38.0440,8.3886,6
-95.2218,-38.5440,8.3981,6
-98.2215,-38.5437,8.4378,6
-98.7214,-39.0437,8.4473,6
-99.2214,-39.0437,8.4539,6
-100.7213,-37.5436,8.4650,6
-101.2212,-37.5435,8.4716,6
-104.7209,-41.0432,8.5383,6
-107.2207,-41.0430,8.5713,6
-107.7207,-41.5430,8.5808,6
-110.1768,-41.5235,11.9135,7
-110.6768,-41.0235,11.9172,7
-111.6767,-41.0234,11.9304,7
-112.1767,-40.5233,11.9341,7
-112.6766,-40.5233,11.9407,7
-113.1766,-40.0233,11.9444,7
-113.6765,-40.0232,11.9510,7
-114.6764,-39.0232,11.9584,7
-115.1764,-39.0231,11.9650,7
-117.1762,-37.0230,11.9797,7
-117.6762,-37.0230,11.9863,7
-120.6759,-34.0228,12.0085,7
-120.6759,-33.5228,12.0055,7
-121.6758,-32.5228,12.0129,7
-121.6758,-32.0228,12.0100,7
-122.6757,-31.0227,12.0174,7
-122.6757,-30.5227,12.0144,7
-123.6757,-29.5226,12.0218,7
-123.6757,-29.0227,12.0189,7
-124.1756,-28.5226,12.0226,7
-124.1756,-27.0227,12.0138,7
-124.6756,-26.5226,12.0175,7
-124.6756,-25.5226,12.0116,7
-125.1755,-25.0226,12.0153,7
-125.1755,-23.0226,12.0036,7
-124.1756,-22.0227,11.9846,7
-124.1756,-21.5227,11.9817,7
-123.6757,-21.0228,11.9721,7
-123.6757,-20.5228,11.9692,7
-119.6760,-16.5232,11.8930,7
-119.6760,-15.5232,11.8871,7
-118.6761,-14.5233,11.8681,7
-118.6761,-14.0233,11.8652,7
-117.1762,-12.5234,11.8366,7
-117.1762,-12.0234,11.8336,7
-114.1765,-9.0237,11.7765,7
-114.1765,-8.5237,11.7736,7
-110.6768,-5.0241,11.7068,7
-110.1768,-5.0241,11.7002,7
-109.6769,-4.5242,11.6907,7
-109.1769,-4.5242,11.6841,7
-108.6770,-4.0242,11.6746,7
-108.1770,-4.0243,11.6680,7
-107.6771,-3.5243,11.6584,7
-106.1772,-3.5244,11.6386,7
-105.6772,-3.0245,11.6291,7
-98.6778,-3.0250,11.5366,7
-98.1779,-3.5251,11.5329,7
-97.6779,-3.5251,11.5263,7
-97.1780,-4.0251,11.5226,7
-95.6781,-4.0252,11.5028,7
-95.1781,-4.5253,11.4991,7
-94.1782,-4.5254,11.4859,7
-93.6783,-5.0254,11.4822,7
-93.1783,-5.0254,11.4756,7
-92.6784,-5.5255,11.4719,7
-92.1784,-5.5255,11.4653,7
-89.6786,-8.0256,11.4469,7
-89.1787,-8.0257,11.4403,7
-88.1788,-9.0257,11.4329,7
-88.1788,-10.5257,11.4417,7
-87.6788,-11.0257,11.4380,7
-87.6788,-11.5257,11.4409,7
-88.1788,-12.0257,11.4504,7
-88.1788,-14.0257,11.4621,7
-87.6788,-14.5257,11.4584,7
-87.6788,-15.0257,11.4613,7
-87.1788,-15.5257,11.4577,7
-87.1788,-16.0257,11.4606,7
-85.6790,-17.5258,11.4495,7
-85.6790,-19.5258,11.4612,7
-83.6791,-21.5259,11.4465,7
-84.1791,-22.0258,11.4560,7
-84.1791,-23.0258,11.4618,7
-83.6791,-23.5258,11.4582,7
-83.6791,-25.5258,11.4698,7
-83.1792,-26.0258,11.4662,7
-83.1792,-33.0257,11.5071,7
-82.1793,-34.0258,11.4997,7
-82.1793,-34.5258,11.5026,7
-82.6792,-35.0257,11.5121,7
-82.6792,-35.5257,11.5151,7
-83.1792,-36.0257,11.5246,7
-83.1792,-36.5257,11.5275,7
-84.1791,-37.5256,11.5466,7
-84.6791,-37.5255,11.5532,7
-85.6790,-38.5254,11.5722,7
-86.1789,-38.5254,11.5788,7
-86.6789,-39.0253,11.5884,7
-91.1785,-39.0250,11.6478,7
-91.6784,-38.5250,11.6515,7
-92.1784,-38.5249,11.6581,7
-94.6782,-36.0248,11.6766,7
-95.1781,-36.0247,11.6832,7
-95.6781,-35.5247,11.6869,7
-96.6780,-35.5246,11.7001,7
-98.6778,-37.5244,11.7382,7
-99.1778,-37.0244,11.7419,7
-100.6777,-38.5243,11.7705,7
-100.6777,-39.0243,11.7734,7
-101.6776,-40.0242,11.7924,7
-102.1775,-40.0241,11.7990,7
-103.1774,-41.0240,11.8181,7
-105.1773,-41.0239,11.8445,7
-105.6772,-41.5238,11.8541,7
-108.6334,-43.0043,15.2021,8
-109.1333,-42.5043,15.2058,8
-111.1331,-42.5041,15.2322,8
-111.6331,-42.0041,15.2359,8
-112.1330,-42.0040,15.2425,8
-112.6330,-41.5040,15.2462,8
-113.1330,-41.5040,15.2528,8
-114.1329,-40.5039,15.2602,8
-114.6328,-40.5039,15.2668,8
-115.6327,-39.5038,15.2742,8
-116.1327,-39.5038,15.2808,8
-119.6324,-36.0036,15.3066,8
-120.1324,-36.0035,15.3132,8
-123.6320,-32.5033,15.3390,8
-124.1320,-32.5033,15.3456,8
-125.1319,-31.5032,15.3530,8
-125.1319,-31.0032,15.3501,8
-125.6319,-30.5032,15.3537,8
-125.6319,-30.0032,15.3508,8
-126.1318,-29.5032,15.3545,8
-126.1318,-26.0032,15.3340,8
-126.6318,-25.5032,15.3377,8
-126.1318,-25.0032,15.3282,8
-126.1318,-23.5033,15.3194,8
-124.6320,-22.0034,15.2909,8
-124.6320,-21.5034,15.2879,8
-123.6320,-20.5035,15.2689,8
-123.6320,-20.0035,15.2659,8
-121.1323,-17.5038,15.2183,8
-121.1323,-17.0038,15.2154,8
-120.1324,-16.0039,15.1963,8
-120.1324,-15.5039,15.1934,8
-119.1324,-14.5040,15.1743,8
-119.1324,-14.0040,15.1714,8
-118.6325,-13.5040,15.1619,8
-118.6325,-13.0040,15.1590,8
-118.1325,-12.5041,15.1494,8
-118.1325,-12.0041,15.1465,8
-117.6326,-11.5041,15.1370,8
-117.6326,-11.0041,15.1341,8
-117.1326,-10.5042,15.1245,8
-117.1326,-10.0042,15.1216,8
-113.1330,-6.0046,15.0454,8
-113.1330,-5.5046,15.0425,8
-109.6333,-2.0049,14.9758,8
-109.1333,-2.0050,14.9691,8
-107.6334,-0.5051,14.9406,8
-107.6334,-0.0051,14.9376,8
-107.1335,0.4948,14.9281,8
-107.1335,0.9948,14.9252,8
