x_mm,y_mm,z_mm,slice_idx
-113.3321,9.6627,-45.3620,12
-113.0250,9.9800,-45.3790,12
-111.4960,10.0217,-45.6984,12
-111.1889,10.3390,-45.7154,12
-109.0484,10.3973,-46.1626,12
-108.7439,10.0967,-46.2734,12
-107.5208,10.1300,-46.5289,12
-107.2164,9.8294,-46.6397,12
-106.6048,9.8461,-46.7675,12
-106.3004,9.5454,-46.8783,12
-105.3830,9.5704,-47.0699,12
-105.0786,9.2698,-47.1807,12
-104.7728,9.2781,-47.2446,12
-104.4684,8.9775,-47.3554,12
-103.8569,8.9942,-47.4831,12
-102.9436,8.0923,-47.8155,12
-102.6378,8.1007,-47.8794,12
-102.3334,7.8000,-47.9901,12
-102.0277,7.8084,-48.0540,12
-101.7232,7.5077,-48.1648,12
-101.4175,7.5161,-48.2287,12
-100.5042,6.6142,-48.5610,12
-100.1984,6.6225,-48.6249,12
-99.5896,6.0213,-48.8465,12
-99.2838,6.0296,-48.9104,12
-95.6309,2.4221,-50.2398,12
-95.6323,2.1132,-50.2867,12
-95.0235,1.5119,-50.5082,12
-95.0262,0.8940,-50.6020,12
-94.7218,0.5934,-50.7128,12
-94.7232,0.2844,-50.7597,12
-94.4188,-0.0162,-50.8705,12
-94.4202,-0.3252,-50.9174,12
-94.1158,-0.6258,-51.0282,12
-94.1268,-3.0974,-51.4033,12
-93.8224,-3.3981,-51.5141,12
-93.8293,-4.9428,-51.7486,12
-94.1364,-5.2601,-51.7316,12
-94.1475,-7.7318,-52.1068,12
-94.4546,-8.0491,-52.0898,12
-94.4560,-8.3581,-52.1367,12
-94.1516,-8.6587,-52.2475,12
-94.1530,-8.9676,-52.2944,12
-93.5441,-9.5689,-52.5160,12
-93.5469,-10.1868,-52.6098,12
-93.2425,-10.4874,-52.7206,12
-93.2452,-11.1053,-52.8144,12
-92.9408,-11.4060,-52.9251,12
-92.9450,-12.3328,-53.0658,12
-92.6406,-12.6335,-53.1766,12
-92.6750,-20.3574,-54.3491,12
-92.9822,-20.6747,-54.3321,12
-92.9904,-22.5284,-54.6135,12
-93.2976,-22.8457,-54.5965,12
-93.2990,-23.1547,-54.6434,12
-93.6061,-23.4720,-54.6264,12
-93.6075,-23.7809,-54.6733,12
-94.8362,-25.0501,-54.6054,12
-95.4477,-25.0668,-54.4776,12
-95.7549,-25.3841,-54.4606,12
-97.2838,-25.4257,-54.1412,12
-97.5883,-25.1251,-54.0304,12
-98.1998,-25.1418,-53.9026,12
-99.1131,-24.2399,-53.5703,12
-101.2536,-24.2982,-53.1231,12
-101.5607,-24.6155,-53.1061,12
-102.1723,-24.6322,-52.9784,12
-102.7866,-25.2668,-52.9444,12
-103.0924,-25.2751,-52.8805,12
-104.9354,-27.1789,-52.7786,12
-104.9368,-27.4878,-52.8255,12
-105.5511,-28.1224,-52.7915,12
-105.5525,-28.4314,-52.8384,12
-106.1668,-29.0659,-52.8044,12
-106.4726,-29.0743,-52.7406,12
-106.7798,-29.3916,-52.7236,12
-107.6971,-29.4166,-52.5319,12
-109.2330,-31.0030,-52.4470,12
-109.8445,-31.0197,-52.3192,12
-110.1517,-31.3370,-52.3022,12
-110.7633,-31.3537,-52.1745,12
-111.0704,-31.6710,-52.1575,12
-110.2796,-33.1087,-30.2156,14
-110.5840,-32.8080,-30.1048,14
-111.1955,-32.8247,-29.9771,14
-111.4999,-32.5241,-29.8663,14
-112.1115,-32.5407,-29.7385,14
-112.4159,-32.2401,-29.6277,14
-113.3333,-32.2651,-29.4361,14
-113.6377,-31.9645,-29.3253,14
-113.9435,-31.9728,-29.2614,14
-114.2479,-31.6722,-29.1506,14
-114.5537,-31.6805,-29.0867,14
-114.8581,-31.3799,-28.9760,14
-115.1639,-31.3883,-28.9121,14
-115.4683,-31.0876,-28.8013,14
-115.7741,-31.0960,-28.7374,14
-116.6873,-30.1941,-28.4051,14
-116.9931,-30.2024,-28.3412,14
-118.2107,-28.9999,-27.8980,14
-118.2094,-28.6910,-27.8512,14
-119.1226,-27.7891,-27.5188,14
-119.1212,-27.4801,-27.4719,14
-120.6432,-25.9770,-26.9180,14
-120.6419,-25.6681,-26.8711,14
-120.3347,-25.3508,-26.8881,14
-122.1612,-23.5470,-26.2234,14
-122.1598,-23.2381,-26.1765,14
-122.4642,-22.9374,-26.0657,14
-122.4614,-22.3195,-25.9719,14
-122.7658,-22.0189,-25.8611,14
-122.7631,-21.4010,-25.7673,14
-123.0675,-21.1004,-25.6565,14
-123.0661,-20.7914,-25.6096,14
-122.7590,-20.4741,-25.6266,14
-122.7548,-19.5472,-25.4859,14
-122.4477,-19.2300,-25.5029,14
-122.4449,-18.6120,-25.4091,14
-122.1377,-18.2947,-25.4261,14
-122.1336,-17.3679,-25.2854,14
-121.8264,-17.0506,-25.3024,14
-121.8251,-16.7416,-25.2555,14
-121.5179,-16.4243,-25.2725,14
-121.5165,-16.1154,-25.2256,14
-120.9022,-15.4808,-25.2596,14
-120.9008,-15.1718,-25.2127,14
-120.5937,-14.8545,-25.2297,14
-120.5923,-14.5456,-25.1828,14
-120.2851,-14.2283,-25.1997,14
-120.2810,-13.3014,-25.0590,14
