slice_idx,circle_idx,is_articular,x_mm,y_mm,z_mm
17,0,1,-114.0013,-2.9857,4.1088
17,0,1,-112.6887,-4.2614,3.6680
17,0,1,-112.0324,-4.2429,3.5586
17,0,1,-111.3761,-4.8807,3.3382
17,0,1,-110.7198,-4.8622,3.2287
17,0,1,-109.4072,-6.1378,2.7879
17,0,1,-108.7509,-6.1193,2.6785
17,0,1,-107.4383,-7.3950,2.2377
17,0,1,-106.7820,-7.3765,2.1282
17,0,1,-100.8752,-13.1168,0.1448
17,0,1,-100.8752,-13.7731,0.0339
17,0,1,-100.2189,-14.4110,-0.1865
17,0,1,-100.2189,-15.0673,-0.2974
17,0,1,-102.8441,-38.7688,-3.8525
17,0,1,-102.1878,-39.4066,-4.0729
17,0,1,-102.1878,-42.0319,-4.5166
17,0,1,-104.1567,-44.0563,-4.5209
17,0,1,-104.8130,-44.0748,-4.4114
17,0,1,-106.1257,-45.4244,-4.4143
17,0,1,-106.7820,-45.4429,-4.3049
17,0,1,-107.4383,-46.1178,-4.3063
17,0,1,-108.0946,-46.1363,-4.1968
17,0,1,-108.7509,-46.8111,-4.1983
17,0,1,-110.7198,-46.8666,-3.8699
17,0,1,-112.6887,-48.8910,-3.8742
17,0,1,-120.5643,-49.7693,-2.6715
17,0,1,-121.2206,-49.7878,-2.5621
17,0,1,-121.8769,-50.4627,-2.5635
17,0,1,-122.5332,-50.4812,-2.4541
17,0,1,-123.1895,-51.1560,-2.4555
18,0,1,-130.4530,-48.6820,-5.1114
18,0,1,-131.1093,-48.0441,-4.8910
18,0,1,-133.0782,-48.0996,-4.5626
18,0,1,-133.7345,-47.4618,-4.3422
18,0,1,-135.0471,-47.4988,-4.1232
18,0,1,-136.3597,-46.2232,-3.6825
18,0,1,-137.0160,-46.2417,-3.5730
18,0,1,-140.2975,-43.0526,-2.4711
18,0,1,-140.2975,-42.3963,-2.3602
18,0,1,-141.6101,-41.1206,-1.9194
18,0,1,-141.6101,-40.4643,-1.8085
18,0,1,-142.9227,-39.1887,-1.3677
18,0,1,-142.9227,-38.5324,-1.2568
18,0,1,-143.5790,-37.8945,-1.0364
18,0,1,-143.5790,-36.5819,-0.8146
18,0,1,-144.2353,-35.9441,-0.5942
18,0,1,-144.2353,-34.6314,-0.3724
18,0,1,-144.8916,-33.9936,-0.1520
18,0,1,-144.8916,-31.3684,0.2917
18,0,1,-144.2353,-30.6935,0.2931
18,0,1,-144.2353,-28.7246,0.6259
18,0,1,-142.9227,-27.3749,0.6288
18,0,1,-142.9227,-26.7186,0.7397
18,0,1,-142.2664,-26.0438,0.7411
18,0,1,-142.2664,-25.3875,0.8520
18,0,1,-140.2975,-23.3630,0.8564
18,0,1,-140.2975,-22.7067,0.9673
18,0,1,-138.3286,-20.0259,1.0826
18,0,1,-137.0160,-18.6763,1.0854
18,0,1,-137.0160,-18.0200,1.1964
18,0,1,-136.3597,-17.3452,1.1978
18,0,1,-136.3597,-16.6888,1.3087
18,0,1,-135.0471,-15.3392,1.3116
18,0,1,-135.0471,-14.6829,1.4225
18,0,1,-134.3908,-14.0081,1.4240
18,0,1,-127.1715,-11.1793,0.6635
18,0,1,-126.5152,-11.8171,0.4431
18,0,1,-126.5152,-13.1298,0.2213
18,0,1,-110.1077,-19.8868,-3.7355
18,0,1,-109.4514,-19.8683,-3.8449
18,0,1,-108.1388,-21.1439,-4.2857
18,0,1,-108.1388,-23.1129,-4.6185
18,0,1,-107.4825,-23.7507,-4.8388
18,0,1,-106.1699,-28.3079,-5.8342
18,0,1,-106.1699,-29.6206,-6.0560
18,0,1,-104.8573,-30.8962,-6.4968
18,0,1,-104.8573,-31.5525,-6.6077
18,0,1,-104.2010,-32.1903,-6.8281
18,0,1,-104.8573,-35.4904,-7.2732
18,0,1,-104.8573,-36.1467,-7.3841
18,0,1,-108.7951,-43.4772,-7.9474
18,0,1,-109.4514,-43.4957,-7.8379
18,0,1,-110.1077,-44.1706,-7.8394
18,0,1,-110.7640,-44.1891,-7.7299
18,0,1,-111.4203,-44.8639,-7.7313
18,0,1,-112.0766,-44.2261,-7.5109
18,0,1,-112.7329,-44.2446,-7.4015
18,0,1,-113.3892,-44.9194,-7.4029
19,0,0,-131.8098,-46.6978,-8.8633
19,0,0,-132.4661,-46.0600,-8.6429
19,0,0,-133.7787,-46.0969,-8.4240
19,0,0,-134.4350,-45.4591,-8.2036
19,0,0,-135.7476,-45.4961,-7.9847
19,0,0,-136.4039,-44.8583,-7.7643
19,0,0,-137.0602,-44.8768,-7.6548
19,0,0,-139.0291,-42.9634,-6.9937
19,0,0,-139.0291,-42.3070,-6.8828
19,0,0,-141.6543,-39.7558,-6.0012
19,0,0,-141.6543,-39.0994,-5.8903
19,0,0,-142.3107,-38.4616,-5.6699
19,0,0,-142.3107,-37.8053,-5.5590
19,0,0,-142.9670,-37.1675,-5.3386
19,0,0,-142.9670,-35.8548,-5.1168
19,0,0,-143.6233,-35.2170,-4.8964
19,0,0,-143.6233,-34.5607,-4.7855
19,0,0,-144.2796,-33.9229,-4.5651
19,0,0,-144.2796,-32.6103,-4.3433
19,0,0,-144.9359,-31.9724,-4.1229
19,0,0,-144.9359,-29.3472,-3.6792
19,0,0,-144.2796,-28.6723,-3.6778
19,0,0,-144.2796,-26.7034,-3.3450
19,0,0,-142.9670,-25.3537,-3.3422
19,0,0,-142.9670,-24.6974,-3.2312
19,0,0,-135.0913,-13.3180,-2.6593
19,0,0,-131.8098,-9.9439,-2.6520
19,0,0,-131.1535,-9.9254,-2.7615
19,0,0,-130.4972,-9.2506,-2.7601
19,0,0,-127.8720,-9.1766,-3.1979
19,0,0,-127.2157,-8.5018,-3.1965
19,0,0,-119.9964,-8.2983,-4.4006
19,0,0,-119.3401,-8.9361,-4.6210
19,0,0,-118.0275,-8.8991,-4.8399
19,0,0,-117.3712,-9.5369,-5.0603
19,0,0,-116.7149,-9.5184,-5.1698
19,0,0,-114.7460,-11.4319,-5.8309
19,0,0,-114.7460,-12.0882,-5.9419
19,0,0,-113.4334,-13.3638,-6.3826
19,0,0,-106.8704,-30.2431,-10.3611
19,0,0,-106.2141,-30.2246,-10.4706
19,0,0,-108.8393,-39.4871,-11.5855
