slice_idx,num_points,x_mm,y_mm,z_mm
16,74,-106.7377,-47.4641,-0.3340
16,74,-108.7066,-49.4886,-0.3383
16,74,-111.3318,-49.5626,0.0996
16,74,-111.9881,-50.2374,0.0981
16,74,-112.6444,-50.2559,0.2076
16,74,-113.3007,-49.6181,0.4280
16,74,-113.9570,-49.6366,0.5374
16,74,-119.8638,-51.7720,1.1899
16,74,-120.5201,-51.7905,1.2994
17,77,-128.4399,-51.3040,-1.5798
17,77,-129.0962,-50.6662,-1.3594
17,77,-130.4088,-50.7032,-1.1404
17,77,-131.0651,-50.0653,-0.9201
17,77,-132.3777,-50.1023,-0.7011
17,77,-133.0340,-49.4645,-0.4807
17,77,-133.6903,-49.4830,-0.3713
17,77,-134.3466,-48.8452,-0.1509
17,77,-135.0029,-48.8637,-0.0414
17,77,-135.6592,-48.2259,0.1790
17,77,-136.3155,-48.2444,0.2884
17,77,-139.5970,-45.0553,1.3903
17,77,-139.5970,-44.3990,1.5013
17,77,-140.9096,-43.1233,1.9420
17,77,-140.9096,-42.4670,2.0529
17,77,-143.5348,-39.9157,2.9345
17,77,-143.5348,-39.2594,3.0454
17,77,-144.1911,-38.6216,3.2658
17,77,-144.1911,-37.9653,3.3767
17,77,-144.8474,-37.3275,3.5971
17,77,-144.8474,-36.6711,3.7080
17,77,-146.1600,-35.3955,4.1488
17,77,-146.1600,-32.7702,4.5924
17,77,-145.5037,-32.0954,4.5939
17,77,-145.5037,-30.7828,4.8157
17,77,-144.8474,-30.1080,4.8171
17,77,-144.8474,-29.4516,4.9281
17,77,-133.6903,-8.1349,6.6164
17,77,-133.6903,-7.4786,6.7273
17,77,-133.0340,-6.8038,6.7288
17,77,-133.0340,-6.1475,6.8397
17,77,-131.0651,-4.1230,6.8440
17,77,-130.4088,-4.1045,6.7346
17,77,-129.7525,-3.4297,6.7360
17,77,-128.4399,-3.3927,6.5171
17,77,-127.7836,-2.7179,6.5185
17,77,-126.4710,-2.6809,6.2996
17,77,-125.8147,-2.0061,6.3010
17,77,-121.2206,-1.8766,5.5348
17,77,-120.5643,-1.2018,5.5362
17,77,-119.9080,-1.1833,5.4268
17,77,-116.6265,-1.7471,4.7685
17,77,-114.6576,-3.0042,4.2183
17,77,-114.0013,-2.9857,4.1088
17,77,-112.6887,-4.2614,3.6680
17,77,-112.0324,-4.2429,3.5586
17,77,-111.3761,-4.8807,3.3382
17,77,-110.7198,-4.8622,3.2287
17,77,-109.4072,-6.1378,2.7879
17,77,-108.7509,-6.1193,2.6785
17,77,-107.4383,-7.3950,2.2377
17,77,-106.7820,-7.3765,2.1282
17,77,-100.8752,-13.1168,0.1448
17,77,-100.8752,-13.7731,0.0339
17,77,-100.2189,-14.4110,-0.1865
17,77,-100.2189,-15.0673,-0.2974
17,77,-101.5315,-16.4169,-0.3003
17,77,-101.5315,-20.3548,-0.9658
17,77,-102.1878,-36.7813,-3.6292
17,77,-102.8441,-37.4561,-3.6307
17,77,-102.8441,-38.7688,-3.8525
17,77,-102.1878,-39.4066,-4.0729
17,77,-102.1878,-42.0319,-4.5166
17,77,-104.1567,-44.0563,-4.5209
17,77,-104.8130,-44.0748,-4.4114
17,77,-106.1257,-45.4244,-4.4143
17,77,-106.7820,-45.4429,-4.3049
17,77,-107.4383,-46.1178,-4.3063
17,77,-108.0946,-46.1363,-4.1968
17,77,-108.7509,-46.8111,-4.1983
17,77,-110.7198,-46.8666,-3.8699
17,77,-112.6887,-48.8910,-3.8742
17,77,-120.5643,-49.7693,-2.6715
17,77,-121.2206,-49.7878,-2.5621
17,77,-121.8769,-50.4627,-2.5635
17,77,-122.5332,-50.4812,-2.4541
17,77,-123.1895,-51.1560,-2.4555
18,40,-130.4530,-48.6820,-5.1114
18,40,-131.1093,-48.0441,-4.8910
18,40,-133.0782,-48.0996,-4.5626
18,40,-133.7345,-47.4618,-4.3422
18,40,-135.0471,-47.4988,-4.1232
18,40,-136.3597,-46.2232,-3.6825
18,40,-137.0160,-46.2417,-3.5730
18,40,-140.2975,-43.0526,-2.4711
18,40,-140.2975,-42.3963,-2.3602
18,40,-141.6101,-41.1206,-1.9194
18,40,-141.6101,-40.4643,-1.8085
18,40,-142.9227,-39.1887,-1.3677
18,40,-142.9227,-38.5324,-1.2568
18,40,-143.5790,-37.8945,-1.0364
18,40,-143.5790,-36.5819,-0.8146
