x_mm,y_mm,z_mm,slice_idx
-113.3892,-44.9194,-7.4029,18
-115.3581,-43.0059,-6.7418,18
-116.0144,-43.0244,-6.6323,18
-116.6707,-42.3866,-6.4119,18
-118.6396,-42.4421,-6.0835,18
-119.2959,-43.1169,-6.0850,18
-119.9522,-43.1354,-5.9755,18
-122.5774,-45.8347,-5.9813,18
-122.5774,-47.1473,-6.2031,18
-123.8900,-48.4970,-6.2060,18
-131.8098,-46.6978,-8.8633,19
-132.4661,-46.0600,-8.6429,19
-133.7787,-46.0969,-8.4240,19
-134.4350,-45.4591,-8.2036,19
-135.7476,-45.4961,-7.9847,19
-136.4039,-44.8583,-7.7643,19
-137.0602,-44.8768,-7.6548,19
-139.0291,-42.9634,-6.9937,19
-139.0291,-42.3070,-6.8828,19
-141.6543,-39.7558,-6.0012,19
-141.6543,-39.0994,-5.8903,19
-142.3107,-38.4616,-5.6699,19
-142.3107,-37.8053,-5.5590,19
-142.9670,-37.1675,-5.3386,19
-142.9670,-35.8548,-5.1168,19
-143.6233,-35.2170,-4.8964,19
-143.6233,-34.5607,-4.7855,19
-144.2796,-33.9229,-4.5651,19
-144.2796,-32.6103,-4.3433,19
-144.9359,-31.9724,-4.1229,19
-144.9359,-29.3472,-3.6792,19
-144.2796,-28.6723,-3.6778,19
-144.2796,-26.7034,-3.3450,19
-142.9670,-25.3537,-3.3422,19
-142.9670,-24.6974,-3.2312,19
-141.6543,-23.3478,-3.2283,19
-141.6543,-22.6915,-3.1174,19
-140.3417,-21.3418,-3.1145,19
-140.3417,-20.6855,-3.0036,19
-137.7165,-17.9862,-2.9978,19
-137.7165,-17.3299,-2.8869,19
-136.4039,-15.9803,-2.8840,19
-136.4039,-15.3240,-2.7731,19
-135.0913,-13.9743,-2.7702,19
-135.0913,-13.3180,-2.6593,19
-131.8098,-9.9439,-2.6520,19
-131.1535,-9.9254,-2.7615,19
-130.4972,-9.2506,-2.7601,19
-127.8720,-9.1766,-3.1979,19
-127.2157,-8.5018,-3.1965,19
-119.9964,-8.2983,-4.4006,19
-119.3401,-8.9361,-4.6210,19
-118.0275,-8.8991,-4.8399,19
-117.3712,-9.5369,-5.0603,19
-116.7149,-9.5184,-5.1698,19
-114.7460,-11.4319,-5.8309,19
-114.7460,-12.0882,-5.9419,19
-113.4334,-13.3638,-6.3826,19
-113.4334,-14.6765,-6.6045,19
-112.1208,-15.9521,-7.0452,19
-112.1208,-17.2648,-7.2671,19
-111.4645,-17.9026,-7.4874,19
-113.4334,-19.9270,-7.4918,19
-113.4334,-21.2397,-7.7136,19
-112.7771,-21.8775,-7.9340,19
-112.7771,-23.1901,-8.1558,19
-112.1208,-23.8279,-8.3762,19
-112.1208,-24.4843,-8.4871,19
-110.8082,-25.7599,-8.9279,19
-110.8082,-26.4162,-9.0388,19
-106.8704,-30.2431,-10.3611,19
-106.2141,-30.2246,-10.4706,19
-103.5889,-32.7759,-11.3521,19
-103.5889,-34.0885,-11.5739,19
-106.2141,-36.7878,-11.5797,19
-106.2141,-37.4441,-11.6907,19
-108.1830,-39.4686,-11.6950,19
-108.8393,-39.4871,-11.5855,19
-112.1208,-42.8612,-11.5928,19
-113.4334,-42.8982,-11.3738,19
-116.0586,-45.5975,-11.3796,19
-118.0275,-45.6530,-11.0512,19
-118.6838,-45.0151,-10.8308,19
-119.3401,-45.0336,-10.7214,19
-119.9964,-45.7085,-10.7228,19
-121.3090,-44.4328,-10.2821,19
-124.5905,-44.5253,-9.7347,19
-126.5594,-46.5498,-9.7391,19
-134.5235,-42.0731,-16.2563,21
-135.1798,-41.4352,-16.0360,21
-136.4924,-41.4722,-15.8170,21
-137.8050,-40.1966,-15.3763,21
-138.4613,-40.2151,-15.2668,21
-143.0554,-35.7504,-13.7241,21
-143.0554,-35.0940,-13.6132,21
-143.7117,-34.4562,-13.3928,21
-143.7117,-33.7999,-13.2819,21
-144.3680,-33.1621,-13.0615,21
-144.3680,-32.5058,-12.9506,21
-145.0243,-31.8680,-12.7302,21
-145.0243,-29.8990,-12.3975,21
-145.6806,-29.2612,-12.1771,21
-145.6806,-25.9796,-11.6225,21
-145.0243,-25.3048,-11.6211,21
-145.0243,-23.9921,-11.3992,21
-144.3680,-23.3173,-11.3978,21
-144.3680,-22.6610,-11.2869,21
-143.7117,-21.9862,-11.2854,21
-143.7117,-21.3299,-11.1745,21
-139.1176,-16.6061,-11.1644,21
-139.1176,-15.9498,-11.0534,21
-137.1487,-13.9253,-11.0491,21
-136.4924,-13.9068,-11.1586,21
-135.1798,-12.5572,-11.1557,21
-132.5546,-12.4832,-11.5935,21
-131.8983,-11.8084,-11.5921,21
-131.2420,-11.7899,-11.7016,21
