slice_idx,num_points,x_mm,y_mm,z_mm
16,57,-111.7807,-50.2204,-1.1784
16,57,-112.6280,-49.3969,-0.8938
16,57,-113.4754,-49.4208,-0.7525
16,57,-121.9487,-52.2017,0.2312
17,58,-126.8860,-50.7837,-3.0022
17,58,-127.7333,-49.9602,-2.7177
17,58,-131.1226,-50.0558,-2.1524
17,58,-131.9700,-49.2323,-1.8678
17,58,-132.8173,-49.2562,-1.7265
17,58,-133.6646,-48.4327,-1.4420
17,58,-134.5120,-48.4566,-1.3006
17,58,-135.3593,-47.6331,-1.0161
17,58,-136.2067,-47.6570,-0.8748
17,58,-139.5960,-44.3631,0.2634
17,58,-139.5960,-43.5157,0.4066
17,58,-141.2907,-41.8688,0.9756
17,58,-141.2907,-41.0214,1.1188
17,58,-143.8327,-38.5510,1.9724
17,58,-143.8327,-37.7036,2.1156
17,58,-144.6800,-36.8801,2.4002
17,58,-144.6800,-34.3381,2.8298
17,58,-145.5274,-33.5146,3.1143
17,58,-145.5274,-31.8199,3.4007
17,58,-144.6800,-30.9486,3.4026
17,58,-144.6800,-29.2539,3.6890
17,58,-131.1226,-6.8404,5.1509
17,58,-131.1226,-5.9930,5.2941
17,58,-129.4280,-4.2505,5.2978
17,58,-128.5806,-4.2267,5.1565
17,58,-127.7333,-3.3554,5.1584
17,58,-122.6493,-3.2121,4.3104
17,58,-121.8019,-2.3409,4.3123
17,58,-120.9546,-2.3170,4.1709
17,58,-119.2599,-2.2692,3.8883
17,58,-118.4126,-2.2453,3.7469
17,58,-117.5652,-3.0688,3.4624
17,58,-115.8706,-3.0210,3.1797
17,58,-114.1759,-4.6680,2.6107
17,58,-113.3286,-4.6441,2.4693
17,58,-112.4812,-5.4676,2.1848
17,58,-111.6339,-5.4437,2.0435
17,58,-109.9392,-7.0906,1.4744
17,58,-109.0919,-7.0668,1.3331
17,58,-104.8552,-11.1841,-0.0896
17,58,-104.8552,-12.0315,-0.2328
17,58,-103.1605,-13.6784,-0.8018
17,58,-103.1605,-17.0679,-1.3747
17,58,-102.3132,-17.8914,-1.6592
17,58,-102.3132,-19.5861,-1.9456
17,58,-103.1605,-38.2519,-4.9547
17,58,-103.1605,-41.6413,-5.5275
17,58,-105.7025,-44.2551,-5.5331
17,58,-106.5499,-44.2789,-5.3918
17,58,-107.3972,-45.1502,-5.3936
17,58,-109.0919,-45.1980,-5.1110
17,58,-109.9392,-46.0692,-5.1128
17,58,-110.7865,-46.0931,-4.9715
17,58,-111.6339,-46.9643,-4.9734
17,58,-112.4812,-46.9882,-4.8320
17,58,-122.6493,-49.8169,-3.5657
17,58,-124.3439,-49.8647,-3.2830
17,58,-125.1913,-50.7359,-3.2849
18,45,-118.2658,-48.1362,-8.3537
18,45,-119.1131,-47.3127,-8.0692
18,45,-132.6705,-47.6949,-5.8079
18,45,-133.5178,-46.8714,-5.5234
18,45,-134.3652,-46.8953,-5.3820
18,45,-136.0598,-45.2483,-4.8130
18,45,-136.9072,-45.2722,-4.6716
18,45,-141.1439,-41.1548,-3.2490
18,45,-141.1439,-40.3075,-3.1058
18,45,-141.9912,-39.4840,-2.8212
18,45,-141.9912,-38.6366,-2.6780
18,45,-142.8385,-37.8132,-2.3935
18,45,-142.8385,-36.9658,-2.2503
18,45,-143.6859,-36.1423,-1.9658
